dataset,model,target,window_id,cutoff_timestamp,context_length,prediction_length,mae,rmse,smape,mase,inference_time_seconds
ETTh1,seasonal_naive,OT,0,2018-06-06 19:00:00,512,24,1.1902083158493042,1.2916741371154785,11.755508422851562,0.8889315128326416,0.00016289999985019676
ETTh1,seasonal_naive,OT,1,2018-06-07 19:00:00,512,24,1.1372500658035278,1.530868411064148,10.463765144348145,0.8869998455047607,3.270000161137432e-05
ETTh1,seasonal_naive,OT,2,2018-06-08 19:00:00,512,24,2.8195831775665283,3.2891123294830322,34.950443267822266,2.5342283248901367,4.5500000851461664e-05
ETTh1,seasonal_naive,OT,3,2018-06-09 19:00:00,512,24,2.1777918338775635,2.678969383239746,30.258481979370117,1.8644037246704102,4.8800000513438135e-05
ETTh1,seasonal_naive,OT,4,2018-06-10 19:00:00,512,24,1.2955832481384277,1.5115489959716797,14.771754264831543,1.0658740997314453,2.4500001018168405e-05
ETTh1,seasonal_naive,OT,5,2018-06-11 19:00:00,512,24,1.612125039100647,1.6771882772445679,16.1999454498291,1.322687029838562,2.220000169472769e-05
ETTh1,seasonal_naive,OT,6,2018-06-12 19:00:00,512,24,0.9554584622383118,1.0344047546386719,8.732820510864258,0.7776596546173096,1.97000008483883e-05
ETTh1,seasonal_naive,OT,7,2018-06-13 19:00:00,512,24,0.3898334503173828,0.4992639124393463,3.3025920391082764,0.33452272415161133,2.5699999241624027e-05
ETTh1,seasonal_naive,OT,8,2018-06-14 19:00:00,512,24,0.6858751177787781,0.825425386428833,6.036363124847412,0.590753972530365,2.1600000764010474e-05
ETTh1,seasonal_naive,OT,9,2018-06-15 19:00:00,512,24,1.612291693687439,1.6812691688537598,15.91561508178711,1.448386549949646,1.630000042496249e-05
ETTh1,seasonal_naive,OT,10,2018-06-16 19:00:00,512,24,0.984749972820282,1.0942209959030151,10.362833976745605,0.8783698678016663,1.720000000204891e-05
ETTh1,seasonal_naive,OT,11,2018-06-17 19:00:00,512,24,1.0697083473205566,1.1271153688430786,11.421794891357422,0.9658390283584595,1.6199999663513154e-05
ETTh1,seasonal_naive,OT,12,2018-06-18 19:00:00,512,24,1.8524583578109741,3.253811836242676,20.510522842407227,1.6414004564285278,1.599999814061448e-05
ETTh1,seasonal_naive,OT,13,2018-06-19 19:00:00,512,24,2.7582082748413086,2.984278917312622,34.93721389770508,2.31868052482605,1.5699999494245276e-05
ETTh1,seasonal_naive,OT,14,2018-06-20 19:00:00,512,24,1.3952499628067017,1.733642816543579,18.013011932373047,1.0733994245529175,1.5300000086426735e-05
ETTh1,seasonal_naive,OT,15,2018-06-21 19:00:00,512,24,2.4357082843780518,3.104694366455078,34.108455657958984,1.8508565425872803,2.049999966402538e-05
ETTh1,seasonal_naive,OT,16,2018-06-22 19:00:00,512,24,2.342083215713501,2.576106071472168,36.0156364440918,1.6752976179122925,2.7999998565064743e-05
ETTh1,seasonal_naive,OT,17,2018-06-23 19:00:00,512,24,1.2309999465942383,1.2755650281906128,16.8250732421875,0.8353967666625977,1.840000186348334e-05
ETTh1,seasonal_naive,OT,18,2018-06-24 19:00:00,512,24,1.981458306312561,2.102281332015991,22.039100646972656,1.3320509195327759,1.720000000204891e-05
ETTh1,seasonal_naive,OT,19,2018-06-25 19:00:00,512,24,1.0524166822433472,1.2010985612869263,10.616337776184082,0.6819220185279846,1.720000000204891e-05
ETTh1,seasonal_naive,OT,0,2018-04-07 19:00:00,512,96,4.163729190826416,4.651895046234131,59.75917434692383,2.0940663814544678,4.819999958272092e-05
ETTh1,seasonal_naive,OT,1,2018-04-11 19:00:00,512,96,4.898530960083008,5.0944743156433105,63.67939758300781,2.4689793586730957,3.020000076503493e-05
ETTh1,seasonal_naive,OT,2,2018-04-15 19:00:00,512,96,2.2665207386016846,2.565295696258545,31.882192611694336,1.066741943359375,2.8399997972883284e-05
ETTh1,seasonal_naive,OT,3,2018-04-19 19:00:00,512,96,1.9411042928695679,2.8083462715148926,23.28218650817871,0.9393905401229858,2.7000001864507794e-05
ETTh1,seasonal_naive,OT,4,2018-04-23 19:00:00,512,96,4.058145523071289,4.7881178855896,55.97965621948242,1.968082308769226,2.519999907235615e-05
ETTh1,seasonal_naive,OT,5,2018-04-27 19:00:00,512,96,1.7660001516342163,2.172368288040161,15.259669303894043,1.058285117149353,2.7000001864507794e-05
ETTh1,seasonal_naive,OT,6,2018-05-01 19:00:00,512,96,3.1685831546783447,3.5609939098358154,28.333572387695312,1.9813008308410645,2.59000007645227e-05
ETTh1,seasonal_naive,OT,7,2018-05-05 19:00:00,512,96,2.3594582080841064,2.8368449211120605,23.90134620666504,1.4054286479949951,2.4199998733820394e-05
ETTh1,seasonal_naive,OT,8,2018-05-09 19:00:00,512,96,1.65458345413208,1.8868391513824463,16.934402465820312,0.9295455813407898,2.4500001018168405e-05
ETTh1,seasonal_naive,OT,9,2018-05-13 19:00:00,512,96,3.0095624923706055,3.5504627227783203,23.162918090820312,1.669684886932373,2.9400001949397847e-05
ETTh1,seasonal_naive,OT,10,2018-05-17 19:00:00,512,96,5.42772912979126,6.161898612976074,51.99275207519531,3.0272533893585205,2.5400000595254824e-05
ETTh1,seasonal_naive,OT,11,2018-05-21 19:00:00,512,96,2.5171561241149902,2.848583698272705,33.76030349731445,1.2502171993255615,2.2899999748915434e-05
ETTh1,seasonal_naive,OT,12,2018-05-25 19:00:00,512,96,1.6649268865585327,2.075533390045166,18.004594802856445,0.9086392521858215,2.2500000341096893e-05
ETTh1,seasonal_naive,OT,13,2018-05-29 19:00:00,512,96,0.9966874122619629,1.2678059339523315,9.545695304870605,0.5933806300163269,2.809999932651408e-05
ETTh1,seasonal_naive,OT,14,2018-06-02 19:00:00,512,96,0.9892500042915344,1.2265169620513916,9.70592212677002,0.6391400694847107,6.149999899207614e-05
ETTh1,seasonal_naive,OT,15,2018-06-06 19:00:00,512,96,1.9235728979110718,2.6027069091796875,20.84221839904785,1.4366599321365356,3.1600000511389226e-05
ETTh1,seasonal_naive,OT,16,2018-06-10 19:00:00,512,96,2.8307602405548096,3.074422597885132,29.814775466918945,2.328861713409424,2.9499999072868377e-05
ETTh1,seasonal_naive,OT,17,2018-06-14 19:00:00,512,96,1.5323333740234375,1.763727068901062,14.805432319641113,1.319820523262024,4.7500001528533176e-05
ETTh1,seasonal_naive,OT,18,2018-06-18 19:00:00,512,96,2.4268958568573,3.273165225982666,27.84661102294922,2.150390148162842,3.529999958118424e-05
ETTh1,seasonal_naive,OT,19,2018-06-22 19:00:00,512,96,2.890791654586792,3.4945333003997803,39.39558792114258,2.0677900314331055,2.9499999072868377e-05
ETTh1,seasonal_naive,OT,0,2018-01-17 19:00:00,512,192,2.682739496231079,3.6600112915039062,68.1002426147461,1.4819164276123047,3.599999763537198e-05
ETTh1,seasonal_naive,OT,1,2018-01-25 19:00:00,512,192,3.451338529586792,3.9877493381500244,165.36863708496094,2.1219472885131836,3.300000025774352e-05
ETTh1,seasonal_naive,OT,2,2018-02-02 19:00:00,512,192,1.2732239961624146,1.5847195386886597,40.45701599121094,0.8104681968688965,2.8300000849412754e-05
ETTh1,seasonal_naive,OT,3,2018-02-10 19:00:00,512,192,1.6308542490005493,1.9718286991119385,40.05256271362305,1.0371754169464111,2.8500002372311428e-05
ETTh1,seasonal_naive,OT,4,2018-02-18 19:00:00,512,192,1.9019323587417603,2.3797447681427,55.72761154174805,1.2095621824264526,4.069999704370275e-05
ETTh1,seasonal_naive,OT,5,2018-02-26 19:00:00,512,192,2.242276191711426,2.72080659866333,51.67437744140625,1.381566047668457,2.9999999242136255e-05
ETTh1,seasonal_naive,OT,6,2018-03-06 19:00:00,512,192,4.573307514190674,5.2840070724487305,96.6302490234375,2.4192330837249756,5.4699998145224527e-05
ETTh1,seasonal_naive,OT,7,2018-03-14 19:00:00,512,192,5.076614856719971,5.591380596160889,68.25511932373047,2.8625032901763916,6.230000144569203e-05
ETTh1,seasonal_naive,OT,8,2018-03-22 19:00:00,512,192,2.7399790287017822,3.0127570629119873,31.0134334564209,1.3486297130584717,3.849999848171137e-05
ETTh1,seasonal_naive,OT,9,2018-03-30 19:00:00,512,192,3.2294113636016846,3.742259979248047,54.56681442260742,1.8467382192611694,3.980000110459514e-05
ETTh1,seasonal_naive,OT,10,2018-04-07 19:00:00,512,192,2.7124321460723877,3.486287832260132,42.067901611328125,1.3641648292541504,3.5799999750452116e-05
ETTh1,seasonal_naive,OT,11,2018-04-15 19:00:00,512,192,2.8791353702545166,3.2889840602874756,39.69230270385742,1.3550701141357422,3.9200000173877925e-05
ETTh1,seasonal_naive,OT,12,2018-04-23 19:00:00,512,192,5.5544586181640625,6.267612934112549,68.19364929199219,2.6937506198883057,3.139999898849055e-05
ETTh1,seasonal_naive,OT,13,2018-05-01 19:00:00,512,192,3.6346042156219482,4.0619587898254395,33.36606979370117,2.2727017402648926,2.8599999495781958e-05
ETTh1,seasonal_naive,OT,14,2018-05-09 19:00:00,512,192,3.3557605743408203,4.067975044250488,29.741043090820312,1.8852674961090088,4.360000093583949e-05
ETTh1,seasonal_naive,OT,15,2018-05-17 19:00:00,512,192,5.128015518188477,5.86892032623291,47.992767333984375,2.8600914478302,4.0400002035312355e-05
ETTh1,seasonal_naive,OT,16,2018-05-25 19:00:00,512,192,1.5733071565628052,1.9699593782424927,16.86750030517578,0.8586375117301941,4.4200001866556704e-05
ETTh1,seasonal_naive,OT,17,2018-06-02 19:00:00,512,192,1.2753907442092896,1.7283581495285034,13.7644681930542,0.8240114450454712,5.0099999498343095e-05
ETTh1,seasonal_naive,OT,18,2018-06-10 19:00:00,512,192,2.388119697570801,2.6976542472839355,25.750808715820312,1.9647020101547241,4.270000135875307e-05
ETTh1,seasonal_naive,OT,19,2018-06-18 19:00:00,512,192,2.147364616394043,2.8112804889678955,24.268587112426758,1.9027068614959717,6.299999949987978e-05
